ccode,team,year,season,n_ath,gold,silver,bronze,total,cw_name,mrgdppc,sd_mrgdppc,pwtrgdp,sd_pwtrgdp,pwtpop,sd_pwtpop,euds,aeuds,polity2,v2x_polyarchy
433,Senegal,1996,Summer,11,0,0,0,0,Senegal,1960.129712229319,305.4310923832908,20411.394008346477,8982.561400277458,9.135750208434672,0.6361250734211918,0.48569869945600136,-0.32203085714476337,-1,0.642
433,Senegal,2000,Summer,26,0,0,0,0,Senegal,2087.186326506045,318.1022547763124,23490.908885917128,9994.396227071227,10.046187210413965,0.6821021450981409,1.032814976229444,0.22508541962867934,8,0.676
433,Senegal,2004,Summer,15,0,0,0,0,Senegal,2214.084874553617,343.8397459332327,27538.82298274263,11892.925249206794,11.098061926082364,0.7499524266707244,1.2293572993644484,0.42162774276368364,8,0.688
433,Senegal,2006,Winter,1,0,0,0,0,Senegal,2260.994511705587,351.06588739450905,29426.8287391622,12310.117152750036,11.702516035896064,0.7947391739008338,1.1913994011869595,0.3836698445861948,8,0.688
433,Senegal,2008,Summer,15,0,0,0,0,Senegal,2316.4562906070205,362.0027453895401,32481.075121033617,13644.412262368714,12.398115863043477,0.8558951472270059,1.02695959672306,0.2192300401222953,7,0.669
433,Senegal,2010,Winter,1,0,0,0,0,Senegal,2343.723073185864,360.1141141371496,34793.31391613774,14803.298563848859,13.056441657726335,0.934681810080549,1.0302095249946441,0.2224799683938794,7,0.683
433,Senegal,2012,Summer,31,0,0,0,0,Senegal,2391.7878721623556,364.0928922106839,37044.71896559491,15877.982829825403,13.759068445371849,0.9208858372030628,1.1879185097143419,0.38018895311357714,7,0.692
433,Senegal,2016,Summer,22,0,0,0,0,Senegal,2623.1074635510736,406.9281030757562,44669.05626349604,18686.742650098695,15.205308271820224,1.0482206416114352,1.2112370083103061,0.4035074517095414,7,0.728
591,Seychelles,1980,Summer,11,0,0,0,0,Seychelles,9347.757415151451,1465.5230837341314,685.5344323139469,290.8970576639459,0.06491464871061321,0.004433157638133247,-0.0900928952780203,-0.8978224518787851,NA,0.202
591,Seychelles,1984,Summer,9,0,0,0,0,Seychelles,9152.691897254375,1435.568900709328,699.6338589029189,296.2691171500607,0.06731559990476145,0.0047519937447340664,-0.03135260220051015,-0.8390821588012749,NA,0.203
591,Seychelles,1992,Summer,11,0,0,0,0,Seychelles,13280.18223273909,2061.5942606977123,1090.0326346245256,457.96334630835173,0.07323012815249896,0.004811501792923691,0.2937036876024841,-0.5140258689982806,NA,0.283
